Rk;Player;Pos;Age;Tm;G;GS;MP;FG;FGA;FG%;3P;3PA;3P%;2P;2PA;2P%;eFG%;FT;FTA;FT%;ORB;DRB;TRB;AST;STL;BLK;TOV;PF;PTS
1;Precious Achiuwa;C;22;TOR;34;20;25.3;3.4;8.1;0.412;0.3;1.3;0.233;3.1;6.9;0.444;0.43;0.9;1.6;0.574;2.4;5.3;7.7;1.3;0.6;0.6;1.1;2.2;7.9
2;Steven Adams;C;28;MEM;44;43;25.7;2.6;4.9;0.521;0;0;0;2.6;4.9;0.521;0.521;1.6;2.8;0.566;4.3;4.9;9.3;3;1;0.6;1.6;1.7;6.7
3;Bam Adebayo;C;24;MIA;21;21;32.9;6.9;13.3;0.518;0;0;0;6.9;13.3;0.52;0.518;4.9;6.3;0.767;2.6;7.3;10;3.2;1.2;0.5;2.9;3.1;18.7
4;Santi Aldama;PF;21;MEM;25;0;10.5;1.4;3.8;0.372;0.2;1.5;0.105;1.2;2.2;0.554;0.394;0.4;0.8;0.579;0.9;1.6;2.5;0.5;0.1;0.2;0.3;0.9;3.4
5;LaMarcus Aldridge;C;36;BRK;32;10;23.1;5.9;10.3;0.574;0.4;1.1;0.333;5.6;9.2;0.603;0.592;1.6;1.8;0.862;1.5;4.1;5.7;0.9;0.4;1.1;0.8;1.7;13.8
6;Nickeil Alexander-Walker;SG;23;NOP;42;18;26.5;4.7;12.8;0.37;2;6.2;0.313;2.8;6.6;0.424;0.446;1.2;1.7;0.704;0.8;2.6;3.4;2.6;0.8;0.3;1.6;1.8;12.6
7;Grayson Allen;SG;26;MIL;41;40;28.1;4.1;9.6;0.423;2.6;6.7;0.391;1.5;3;0.496;0.558;1;1.2;0.857;0.5;2.9;3.4;1.3;0.8;0.4;0.6;1.5;11.8
8;Jarrett Allen;C;23;CLE;39;39;32.7;6.7;9.6;0.695;0;0.2;0.125;6.6;9.4;0.708;0.697;2.9;4.2;0.697;3.3;7.6;10.9;1.8;0.8;1.4;1.9;1.8;16.3
9;Jose Alvarado;PG;23;NOP;18;0;9.2;1.1;3.1;0.364;0.4;1.4;0.269;0.7;1.6;0.448;0.427;0.5;0.8;0.643;0.3;0.7;1;1.6;1;0.1;0.2;1;3.1
10;Justin Anderson;SF;28;IND;3;0;10;0.7;3.7;0.182;0.3;3;0.111;0.3;0.7;0.5;0.227;1;1;1;0.7;0.7;1.3;1;0.3;0.3;0.3;1.7;2.7
11;Kyle Anderson;PF;28;MEM;38;8;22.4;3.2;7.4;0.436;0.7;1.9;0.351;2.6;5.5;0.466;0.482;1;1.6;0.661;0.9;4.4;5.3;2.6;1.1;0.6;1.1;1.5;8.2
12;Giannis Antetokounmpo;PF;27;MIL;39;39;32.7;9.9;18.7;0.531;1.1;3.8;0.282;8.8;14.9;0.595;0.56;7.7;10.8;0.714;1.8;9.5;11.3;6;1;1.5;3.5;3.3;28.6
13;Thanasis Antetokounmpo;SF;29;MIL;28;5;11.9;1.4;2.9;0.463;0;0.4;0.091;1.3;2.5;0.521;0.47;0.5;0.9;0.625;1.1;1.7;2.8;0.7;0.5;0.3;0.6;1.9;3.3
14;Carmelo Anthony;PF;37;LAL;43;3;26.9;4.6;10.6;0.434;2.3;6;0.389;2.3;4.6;0.492;0.544;1.9;2.3;0.812;0.9;3.3;4.2;1;0.7;0.8;0.8;2.3;13.4
15;Cole Anthony;PG;21;ORL;33;33;33.2;6.2;15.8;0.396;2.4;7.2;0.328;3.9;8.5;0.454;0.471;3.4;4;0.835;0.6;5.5;6.1;5.8;0.8;0.3;2.8;2.7;18.2
16;OG Anunoby;SF;24;TOR;28;28;36.5;7;16;0.434;2.5;7.3;0.346;4.4;8.7;0.508;0.513;2.4;3.1;0.773;1.5;3.8;5.3;2.3;1.6;0.4;1.8;2.9;18.9
17;Trevor Ariza;SF;36;LAL;12;5;19.2;1.3;3.3;0.375;1;2.8;0.364;0.3;0.6;0.429;0.525;0.2;0.3;0.5;0.3;2.9;3.3;1.3;0.5;0.2;0.3;0.6;3.7
18;D.J. Augustin;PG;34;HOU;33;2;15;1.7;4;0.414;1.2;2.8;0.415;0.5;1.2;0.41;0.56;1;1.2;0.868;0.2;1;1.2;2.2;0.3;0;1.3;0.5;5.5
19;Deni Avdija;SF;21;WAS;46;6;22.5;2.6;6;0.437;0.8;2.8;0.302;1.8;3.2;0.554;0.507;1.1;1.5;0.731;0.7;4;4.7;1.6;0.8;0.7;0.9;2.2;7.2
20;Joel Ayayi;SG;21;WAS;7;0;2.9;0.1;0.9;0.167;0;0.1;0;0.1;0.7;0.2;0.167;0;0;0;0.1;0.3;0.4;0.6;0;0;0;0;0.3
21;Deandre Ayton;C;23;PHO;28;28;29.9;7.3;11.5;0.637;0.1;0.3;0.25;7.3;11.2;0.646;0.64;2;2.9;0.713;2.8;7.8;10.6;1.5;0.8;0.8;1.7;2.2;16.8
22;Udoka Azubuike;C;22;UTA;7;1;7.3;0.7;1;0.714;0;0;0;0.7;1;0.714;0.714;0.1;0.3;0.5;0.3;1.4;1.7;0;0.1;0.6;0.7;0.7;1.6
23;Marvin Bagley III;PF;22;SAC;26;13;21.9;3.8;8.2;0.46;0.5;2.1;0.236;3.3;6.1;0.538;0.491;1.3;1.8;0.745;2.3;5;7.3;0.6;0.3;0.3;0.7;1.7;9.4
24;LaMelo Ball;PG;20;CHO;39;39;31.8;6.9;16.5;0.418;2.7;7.3;0.371;4.2;9.3;0.454;0.499;2.5;2.8;0.883;1.7;5.6;7.3;7.7;1.6;0.4;3.1;3;19
25;Lonzo Ball;PG;24;CHI;35;35;34.6;4.6;10.9;0.423;3.1;7.4;0.423;1.5;3.5;0.423;0.567;0.6;0.8;0.75;1;4.4;5.4;5.1;1.8;0.9;2.3;2.4;13
26;Mo Bamba;C;23;ORL;36;34;27.5;4.1;9;0.46;1.4;3.9;0.355;2.8;5.1;0.541;0.537;0.8;1;0.778;2.3;6;8.3;1.5;0.8;2.1;1.4;2.7;10.4
27;Desmond Bane;SF;23;MEM;45;45;29.9;6.7;14.3;0.47;2.9;6.9;0.42;3.8;7.4;0.517;0.572;1.4;1.6;0.886;0.5;3.9;4.4;2.4;1.1;0.5;1.5;2.4;17.7
28;Dalano Banton;SF;22;TOR;33;1;11.7;1.5;3.6;0.407;0.2;0.8;0.269;1.2;2.8;0.446;0.436;0.5;0.7;0.75;0.6;1.5;2;1.7;0.4;0.2;1;1.2;3.7
29;Cat Barber;PG;27;ATL;3;0;4.3;0;1.3;0;0;0;0;0;1.3;0;0;0;1.3;0;0.3;0.7;1;1;0;0;0.3;0.3;0
30;Harrison Barnes;PF;29;SAC;42;42;33.5;5;11;0.451;2;4.9;0.415;2.9;6.1;0.48;0.544;4.3;5.1;0.833;1.1;4.9;6;2.4;0.7;0.2;1.7;1.3;16.3
31;Scottie Barnes;PF;20;TOR;36;36;35.5;5.9;12.5;0.477;0.8;2.4;0.31;5.2;10.1;0.517;0.507;2.1;3;0.72;2.8;5.1;7.9;3.4;1;0.8;1.9;2.9;14.8
32;RJ Barrett;SF;21;NYK;39;39;32.3;6.1;14.6;0.417;1.9;5.5;0.35;4.2;9.1;0.456;0.482;2.8;4.2;0.685;0.8;4.9;5.7;2.4;0.5;0.3;2;2.1;16.9
33;Will Barton;SG;31;DEN;39;39;32.8;5.8;13.4;0.431;2.4;6.4;0.369;3.4;7.1;0.487;0.519;1.3;1.7;0.788;0.6;4.2;4.8;4.2;0.8;0.5;1.8;1.4;15.3
34;Paris Bass;SF;26;PHO;2;0;3.5;1;3;0.333;0;1;0;1;2;0.5;0.333;1;1;1;1;1;2;0;0.5;0;1;1;3
35;Charles Bassey;PF;21;PHI;21;0;7.2;1.3;1.9;0.675;0;0.2;0;1.3;1.7;0.75;0.675;0.4;0.5;0.727;0.9;1.8;2.7;0.3;0.2;0.7;0.3;1.4;3
36;Keita Bates-Diop;SF;26;SAS;38;12;17.3;2.3;4.6;0.5;0.3;1.1;0.325;2;3.6;0.551;0.537;0.8;1.1;0.69;1.2;3.1;4.3;0.7;0.4;0.3;0.8;1;5.7
37;Nicolas Batum;PF;33;LAC;27;23;26.1;3.4;6.7;0.5;2;4.9;0.414;1.3;1.8;0.735;0.651;0.6;0.8;0.682;0.4;4.3;4.8;1.6;1;0.8;0.9;1.5;9.3
38;Kent Bazemore;SF;32;LAL;25;14;16.6;1.4;4.2;0.33;0.8;2.3;0.351;0.6;2;0.306;0.425;0.4;0.5;0.769;0.3;1.7;2;0.9;0.8;0.2;0.4;2.1;4
39;Darius Bazley;PF;21;OKC;40;28;26;3.4;8.5;0.394;0.9;3.5;0.266;2.4;5;0.483;0.449;1.4;2;0.679;1.1;5.1;6.2;1.2;0.7;1.2;1.4;1;9
40;Bradley Beal;SG;28;WAS;37;37;36;8.9;19.7;0.455;1.6;5.4;0.303;7.3;14.2;0.512;0.497;4.2;5;0.832;1;3.7;4.7;6.5;0.9;0.4;3.4;2.4;23.7
41;Malik Beasley;SG;25;MIN;45;9;26.9;4.4;11.9;0.375;3;8.7;0.349;1.4;3.2;0.444;0.502;0.5;0.6;0.724;0.4;2.8;3.2;1.6;0.6;0.1;0.7;1.2;12.4
42;Jordan Bell;C;27;CHI;1;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;1;0;0;2;0
43;DeAndre' Bembry;SF;27;BRK;39;16;19.3;2.4;4.2;0.58;0.3;0.7;0.444;2.1;3.5;0.607;0.617;0.4;0.7;0.593;0.7;2.4;3.1;1.2;1;0.5;0.6;2.1;5.5
