Transaction_ID,Date,Stock ,Transaction_Price,Type_of_Investment,Description of each transaction
1,1/1/23,APPLE-Stock,$185.37 ,Stock,AAPL shares purchased
2,1/2/23,ALPHABET-Stock,$122.58 ,Stock,GOOGL shares purchased
3,1/2/23,MICROSOFT-Stock,$337.02 ,Stock,MSFT shares purchased
4,1/2/23,AMAZON-Stock,$125.00 ,Stock,AMZN shares purchased
5,3/5/23,APPLE-Stock,$187.91 ,Stock,AAPL shares purchased
6,1/1/23,APPLE-Stock,$193.83 ,Stock,AAPL shares purchased
7,1/2/23,ALPHABET-Stock,$194.58 ,Stock,GOOGL shares purchased
8,1/2/23,MICROSOFT-Stock,$195.33 ,Stock,MSFT shares purchased
9,1/2/23,AMAZON-Stock,$196.08 ,Stock,AMZN shares purchased
10,3/5/23,APPLE-Stock,$196.83 ,Stock,AAPL shares purchased
11,1/1/23,APPLE-Stock,$197.58 ,Stock,AAPL shares purchased
12,1/2/23,ALPHABET-Stock,$198.33 ,Stock,GOOGL shares purchased
13,1/2/23,MICROSOFT-Stock,$199.08 ,Stock,MSFT shares purchased
14,1/2/23,AMAZON-Stock,$199.83 ,Stock,AMZN shares purchased
15,3/5/23,APPLE-Stock,$200.58 ,Stock,AAPL shares purchased
16,1/1/23,APPLE-Stock,$201.33 ,Stock,AAPL shares purchased
17,1/2/23,ALPHABET-Stock,$202.08 ,Stock,GOOGL shares purchased
18,1/2/23,MICROSOFT-Stock,$202.83 ,Stock,MSFT shares purchased
19,1/2/23,AMAZON-Stock,$203.58 ,Stock,AMZN shares purchased
20,3/5/23,APPLE-Stock,$204.33 ,Stock,AAPL shares purchased
21,1/1/23,APPLE-Stock,$205.08 ,Stock,AAPL shares purchased
22,1/2/23,ALPHABET-Stock,$205.83 ,Stock,GOOGL shares purchased
23,1/2/23,MICROSOFT-Stock,$206.58 ,Stock,MSFT shares purchased
24,1/2/23,AMAZON-Stock,$207.33 ,Stock,AMZN shares purchased
25,3/5/23,APPLE-Stock,$208.08 ,Stock,AAPL shares purchased
26,1/1/23,APPLE-Stock,$208.83 ,Stock,AAPL shares purchased
27,1/2/23,ALPHABET-Stock,$209.58 ,Stock,GOOGL shares purchased
28,1/2/23,MICROSOFT-Stock,$210.33 ,Stock,MSFT shares purchased
29,1/2/23,AMAZON-Stock,$211.08 ,Stock,AMZN shares purchased
30,3/5/23,APPLE-Stock,$211.83 ,Stock,AAPL shares purchased
31,1/1/23,APPLE-Stock,$212.58 ,Stock,AAPL shares purchased
32,1/2/23,ALPHABET-Stock,$213.33 ,Stock,GOOGL shares purchased
33,1/2/23,MICROSOFT-Stock,$214.08 ,Stock,MSFT shares purchased
34,1/2/23,AMAZON-Stock,$214.83 ,Stock,AMZN shares purchased
35,3/5/23,APPLE-Stock,$215.58 ,Stock,AAPL shares purchased
36,1/1/23,APPLE-Stock,$216.33 ,Stock,AAPL shares purchased
37,1/2/23,ALPHABET-Stock,$217.08 ,Stock,GOOGL shares purchased
38,1/2/23,MICROSOFT-Stock,$217.83 ,Stock,MSFT shares purchased
39,1/2/23,AMAZON-Stock,$218.58 ,Stock,AMZN shares purchased
40,3/5/23,APPLE-Stock,$219.33 ,Stock,AAPL shares purchased
41,1/1/23,APPLE-Stock,$220.08 ,Stock,AAPL shares purchased
42,1/2/23,ALPHABET-Stock,$220.83 ,Stock,GOOGL shares purchased
43,1/2/23,MICROSOFT-Stock,$221.58 ,Stock,MSFT shares purchased
44,1/2/23,AMAZON-Stock,$222.33 ,Stock,AMZN shares purchased
45,3/5/23,APPLE-Stock,$223.08 ,Stock,AAPL shares purchased
46,1/1/23,APPLE-Stock,$223.83 ,Stock,AAPL shares purchased
47,1/2/23,ALPHABET-Stock,$224.58 ,Stock,GOOGL shares purchased
48,1/2/23,MICROSOFT-Stock,$225.33 ,Stock,MSFT shares purchased
49,1/2/23,AMAZON-Stock,$226.08 ,Stock,AMZN shares purchased
