crash_date,borough,zip_code,street_name,total_injured,total_killed,injured_pedestrians,killed_pedestrians,injured_cyclists,killed_cyclist,injured_motorists,killed_motorists,contributing_factor_vehicle_1,contributing_factor_vehicle_2,collision_id,vehicle_type_code_1,vehicle_type_code_2,latitude,longitude
2025-04-11 00:00:00,BROOKLYN,11203.0,LINDEN BLVD,1.0,0.0,0,0,0,0,1,0,Pavement Slippery,Pavement Slippery,4805538,Sedan,Sedan,40.654045,-73.92672
2025-04-11 19:07:00,,,FOREST HILL RD,2.0,0.0,0,0,0,0,2,0,Unspecified,Unspecified,4805611,Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle,40.58502,-74.14762
2025-04-11 05:32:00,BROOKLYN,11216.0,NOSTRAND AVE,0.0,0.0,0,0,0,0,0,0,Other Vehicular,Unsafe Lane Changing,4804993,Station Wagon/Sport Utility Vehicle,Sedan,40.681805,-73.94986
2025-04-11 18:40:00,BROOKLYN,11205.0,MYRTLE AVE,0.0,0.0,0,0,0,0,0,0,Other Vehicular,Following Too Closely,4805435,Sedan,Motorcycle,40.693436,-73.97783
2025-04-11 13:05:00,MANHATTAN,10024.0,,0.0,0.0,0,0,0,0,0,0,Driver Inexperience,Unspecified,4805181,Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle,40.785343,-73.9792
2025-04-11 15:20:00,,,GRAND CENTRAL PKWY,3.0,0.0,0,0,0,0,3,0,Following Too Closely,Unspecified,4805526,Sedan,Sedan,40.752754,-73.8519
2025-04-11 23:02:00,MANHATTAN,10065.0,YORK AVE,0.0,0.0,0,0,0,0,0,0,Unsafe Lane Changing,Unspecified,4805333,Taxi,Station Wagon/Sport Utility Vehicle,40.76118,-73.9579
2025-04-11 15:31:00,,,110 ST,0.0,0.0,0,0,0,0,0,0,Passing Too Closely,Unspecified,4805480,Sedan,,40.696297,-73.83801
2025-04-11 13:44:00,QUEENS,11432.0,,0.0,0.0,0,0,0,0,0,0,Other Vehicular,Driver Inattention/Distraction,4805103,Sedan,,40.709877,-73.80684
2025-04-11 07:30:00,MANHATTAN,10033.0,W 179 ST,0.0,0.0,0,0,0,0,0,0,Unspecified,Unspecified,4805096,Sedan,Bus,40.84929,-73.938934
