Country,US_2024_Deficit,US_2024_Exports,US_2024_Imports,Tarrifs_on_America,Tarrifs_imposed_by_America
China,-295401.6,143545.7,438947.4,67%,34%
European Union,-235571.2,370189.2,605760.4,39%,19%
Mexico,-171809.2,334041.4,505850.6,34%,17%
Vietnam,-123463,13098.2,136561.2,90%,45%
Taiwan,-73927.2,42336.9,116264,64%,32%
Japan,-68467.7,79740.8,148208.6,46%,23%
South Korea,-66007.4,65541.8,131549.2,50%,25%
Canada,-63335.8,349359.9,412695.7,15%,10%
India,-45663.8,41752.7,87416.4,52%,26%
Thailand,-45608.9,17719.2,63328.2,72%,36%
Switzerland,-38463.3,24962,63425.3,61%,30%
Malaysia,-24830.1,27704.8,52534.8,47%,24%
Indonesia,-17882.6,10202.1,28084.7,64%,32%
Cambodia,-12340.2,321.6,12661.8,97%,49%
South Africa,-8836.8,5819,14655.8,60%,30%
Israel,-7425.4,14792,22217.5,33%,17%
Bangladesh,-6151.8,2214,8365.8,74%,37%
Iraq,-5761.7,1660.6,7422.3,78%,39%
Philippines,-4880.3,9297.3,14177.6,34%,17%
Guyana,-4060.6,1314.9,5375.5,76%,38%
Pakistan,-2988.5,2135.1,5123.7,58%,29%
Sri Lanka,-2647.4,368.2,3015.6,88%,44%
Russia,-2481.4,526.1,3007.5,83%,41%
Norway,-1991.3,4592,6583.3,30%,15%
Costa Rica,-1958.1,9676.8,11634.9,17%,10%
Venezuela,-1755.8,4232,5987.9,29%,15%
Nicaragua,-1681.3,2941,4622.3,36%,18%
Nigeria,-1524.9,4174.3,5699.2,27%,13%
Turkey,-1452.7,15293,16745.7,10%,10%
Algeria,-1447.1,1014.5,2461.6,59%,29%
Jordan,-1334.1,2030.8,3364.9,40%,20%
Kazakhstan,-1253.7,1077.1,2330.7,54%,27%
Angola,-1186.9,682.4,1869.2,63%,32%
New Zealand,-1117.6,4499.4,5617,20%,10%
Ecuador,-992.7,7531.7,8524.3,12%,10%
Libya,-898.3,567.2,1465.6,61%,31%
Laos,-762.9,40.4,803.3,95%,47%
Madagascar,-679.8,53.4,733.2,93%,46%
Tunisia,-619.6,503.6,1123.2,55%,28%
Serbia,-604.5,209.9,814.4,74%,37%
Burma,-579.3,77.2,656.5,88%,44%
Cote d'Ivoire,-418.1,596.6,1014.7,41%,21%
Trinidad and Tobago,-386.2,2939.7,3325.9,12%,10%
Botswana,-300.8,104.3,405.1,74%,37%
Faroe Islands,-248.1,1.4,249.5,99%,50%
Lesotho,-234.5,2.8,237.3,99%,49%
Ghana,-204.4,967.3,1171.7,17%,10%
Mauritius,-186.5,48,234.5,80%,40%
Liechtenstein,-177.7,66,243.7,73%,36%
Fiji,-164.6,94.7,259.3,63%,32%
Bosnia and Herzegovina,-126.1,53,179.1,70%,35%
Namibia,-114.7,160.5,275.2,42%,21%
North Macedonia,-113.1,60.6,173.7,65%,33%
Brunei,-111.6,127.2,238.8,47%,23%
Bolivia,-103.1,401,504.1,20%,10%
Iceland,-86.8,985.8,1072.6,10%,10%
Moldova,-82.9,53.6,136.5,61%,30%
Congo (Kinshasa),-69.8,253.3,323.1,22%,11%
Mozambique,-66.4,149.7,216.1,31%,15%
Cameroon,-55.7,193.1,248.8,22%,11%
Zambia,-55.3,113.8,169.1,33%,16%
Equatorial Guinea,-32.3,95.4,127.6,25%,13%
Reunion,-32.2,11.9,44.1,73%,37%
Uganda,-26.3,106.3,132.6,20%,10%
Zimbabwe,-24.1,43.8,67.8,36%,18%
Chad,-20.9,59.9,80.8,26%,13%
