fund_name,company,exposure_musd
Sequoia Capital Growth Fund II,Anthropic,1.81
Sequoia Capital Growth Fund II,Modal Labs,0.62
Sequoia Capital Growth Fund II,Cursor,0.71
Sequoia Capital Growth Fund II,Vercel,0.58
Andreessen Horowitz Fund VII,Anthropic,1.45
Andreessen Horowitz Fund VII,Cursor,0.78
Andreessen Horowitz Fund VII,Modal Labs,0.51
Andreessen Horowitz Fund VII,Mistral,0.84
Andreessen Horowitz Fund VII,Vercel,0.62
Founders Fund VIII,Anthropic,0.92
Founders Fund VIII,Cursor,0.51
Founders Fund VIII,Mistral,0.78
Founders Fund VIII,Cognition,0.62
Lattice Ventures Fund III,Anthropic,0.45
Lattice Ventures Fund III,Cursor,0.48
Greylock Partners XVI,Anthropic,0.62
Greylock Partners XVI,Cognition,0.45
Greylock Partners XVI,Inkeep,0.21
Khosla Ventures VIII,Mistral,0.38
Lux Capital Fund VII,Modal Labs,0.32
Lux Capital Fund VII,Daytona,0.18
Coatue Early Stage Fund III,Anthropic,0.84
Coatue Early Stage Fund III,Cognition,0.58
