customer_id,company_name,plan_type,is_trial,segment,industry,signup_date,mrr
C1000,Customer 1000,Starter,False,SMB,Healthcare,2024-09-23,49
C1001,Customer 1001,Team,False,SMB,Healthcare,2026-01-26,399
C1002,Customer 1002,Starter,False,Mid-Market,Technology,2025-12-27,99
C1003,Customer 1003,Business,False,SMB,Retail,2024-06-07,599
C1004,Customer 1004,Starter,False,SMB,Manufacturing,2025-05-11,99
C1005,Customer 1005,Team,False,Enterprise,Retail,2025-09-14,399
C1006,Customer 1006,Starter,False,SMB,Professional Services,2026-01-13,49
C1007,Customer 1007,Team,False,SMB,Education,2024-09-12,199
C1008,Customer 1008,Business,False,Mid-Market,Professional Services,2025-01-01,999
C1009,Customer 1009,Business,False,SMB,Retail,2025-11-29,999
C1010,Customer 1010,Business,False,Mid-Market,Healthcare,2025-04-29,799
C1011,Customer 1011,Starter,False,Enterprise,Professional Services,2024-08-07,99
C1012,Customer 1012,Business,False,Mid-Market,Healthcare,2025-07-11,599
C1013,Customer 1013,Team,False,Mid-Market,Manufacturing,2026-01-20,199
C1014,Customer 1014,Business,False,Enterprise,Healthcare,2024-09-02,799
C1015,Customer 1015,Team,False,Enterprise,Technology,2025-06-30,399
C1016,Customer 1016,Business,False,Mid-Market,Manufacturing,2025-12-02,799
C1017,Customer 1017,Starter,False,Mid-Market,Professional Services,2025-09-08,99
C1018,Customer 1018,Starter,False,Mid-Market,Technology,2026-03-03,49
C1019,Customer 1019,Enterprise,False,Enterprise,Financial Services,2025-12-05,1500
C1020,Customer 1020,Business,False,Mid-Market,Manufacturing,2025-06-07,599
C1021,Customer 1021,Business,False,Mid-Market,Education,2024-08-27,999
C1022,Customer 1022,Starter,False,SMB,Technology,2025-12-15,99
C1023,Customer 1023,Team,False,Mid-Market,Manufacturing,2025-04-16,399
C1024,Customer 1024,Starter,False,SMB,Technology,2025-02-09,49
C1025,Customer 1025,Business,False,SMB,Financial Services,2024-08-12,599
C1026,Customer 1026,Business,False,SMB,Healthcare,2025-03-13,799
C1027,Customer 1027,Starter,False,Mid-Market,Manufacturing,2024-12-12,99
C1028,Customer 1028,Starter,False,Mid-Market,Education,2024-09-09,49
C1029,Customer 1029,Team,False,SMB,Manufacturing,2025-12-02,199
C1030,Customer 1030,Starter,False,Mid-Market,Technology,2025-12-16,49
C1031,Customer 1031,Team,False,SMB,Retail,2025-07-22,199
C1032,Customer 1032,Starter,False,Mid-Market,Retail,2025-07-05,99
C1033,Customer 1033,Starter,False,SMB,Financial Services,2024-11-06,49
C1034,Customer 1034,Team,False,SMB,Education,2024-07-22,199
C1035,Customer 1035,Starter,False,SMB,Education,2024-12-08,49
C1036,Customer 1036,Team,False,Mid-Market,Retail,2026-01-14,299
C1037,Customer 1037,Starter,False,SMB,Professional Services,2025-01-31,99
C1038,Customer 1038,Team,False,Enterprise,Financial Services,2024-06-10,399
C1039,Customer 1039,Enterprise,False,Enterprise,Healthcare,2024-10-14,6000
C1040,Customer 1040,Business,False,Mid-Market,Education,2025-12-09,999
C1041,Customer 1041,Enterprise,False,SMB,Financial Services,2024-09-15,2500
C1042,Customer 1042,Starter,False,SMB,Manufacturing,2025-03-06,49
C1043,Customer 1043,Team,False,Enterprise,Education,2025-10-31,199
C1044,Customer 1044,Starter,False,SMB,Healthcare,2025-03-11,99
C1045,Customer 1045,Business,False,Mid-Market,Financial Services,2025-12-17,599
C1046,Customer 1046,Team,False,SMB,Healthcare,2025-06-14,299
C1047,Customer 1047,Starter,False,SMB,Financial Services,2025-06-02,99
C1048,Customer 1048,Business,False,Enterprise,Education,2025-01-29,599
C1049,Customer 1049,Business,False,SMB,Professional Services,2025-05-07,599
C1050,Customer 1050,Business,False,Enterprise,Healthcare,2025-06-27,799
C1051,Customer 1051,Starter,False,Mid-Market,Retail,2025-01-20,99
C1052,Customer 1052,Team,False,SMB,Education,2025-05-26,199
C1053,Customer 1053,Team,False,Enterprise,Financial Services,2024-11-30,399
C1054,Customer 1054,Team,False,Enterprise,Financial Services,2025-04-18,399
C1055,Customer 1055,Business,False,SMB,Education,2024-07-16,799
C1056,Customer 1056,Team,False,Mid-Market,Financial Services,2025-05-05,399
C1057,Customer 1057,Team,False,SMB,Healthcare,2025-05-01,299
C1058,Customer 1058,Team,False,SMB,Technology,2024-11-26,299
C1059,Customer 1059,Business,False,Mid-Market,Manufacturing,2025-08-15,799
C1060,Customer 1060,Team,False,Enterprise,Education,2025-11-06,399
C1061,Customer 1061,Business,False,Mid-Market,Financial Services,2025-11-10,799
C1062,Customer 1062,Starter,False,SMB,Retail,2024-12-21,49
C1063,Customer 1063,Team,False,SMB,Professional Services,2025-06-29,199
C1064,Customer 1064,Business,False,Mid-Market,Retail,2024-11-28,599
C1065,Customer 1065,Starter,False,SMB,Technology,2025-09-11,99
C1066,Customer 1066,Team,False,SMB,Education,2025-12-14,299
C1067,Customer 1067,Starter,False,Mid-Market,Retail,2026-03-15,49
C1068,Customer 1068,Starter,False,SMB,Technology,2025-03-20,49
C1069,Customer 1069,Business,False,Mid-Market,Financial Services,2025-06-28,799
C1070,Customer 1070,Starter,False,Mid-Market,Retail,2025-07-31,49
C1071,Customer 1071,Enterprise,False,SMB,Retail,2024-06-07,2500
C1072,Customer 1072,Starter,False,SMB,Financial Services,2025-10-13,99
C1073,Customer 1073,Business,False,Enterprise,Technology,2024-11-17,999
C1074,Customer 1074,Team,False,SMB,Retail,2024-08-25,199
C1075,Customer 1075,Starter,False,SMB,Education,2025-05-02,99
C1076,Customer 1076,Team,False,Mid-Market,Financial Services,2024-08-23,199
C1077,Customer 1077,Business,False,Enterprise,Healthcare,2024-07-12,599
C1078,Customer 1078,Team,False,SMB,Healthcare,2024-10-08,399
C1079,Customer 1079,Team,False,Enterprise,Professional Services,2024-11-19,199
C1080,Customer 1080,Starter,False,SMB,Professional Services,2026-01-14,99
C1081,Customer 1081,Team,False,Mid-Market,Healthcare,2024-08-17,399
C1082,Customer 1082,Business,False,SMB,Retail,2026-01-01,999
C1083,Customer 1083,Business,False,Mid-Market,Financial Services,2024-06-13,999
C1084,Customer 1084,Team,False,Mid-Market,Professional Services,2024-11-04,399
C1085,Customer 1085,Team,False,Mid-Market,Manufacturing,2025-09-20,199
C1086,Customer 1086,Starter,False,SMB,Technology,2025-09-05,99
C1087,Customer 1087,Starter,False,SMB,Education,2025-04-29,99
C1088,Customer 1088,Starter,False,Enterprise,Financial Services,2025-12-22,49
C1089,Customer 1089,Business,False,Mid-Market,Professional Services,2025-12-21,599
C1090,Customer 1090,Starter,False,Mid-Market,Manufacturing,2025-03-29,99
C1091,Customer 1091,Enterprise,False,Mid-Market,Manufacturing,2025-08-10,4000
C1092,Customer 1092,Starter,False,SMB,Financial Services,2025-01-23,49
C1093,Customer 1093,Business,False,Enterprise,Technology,2025-03-11,599
C1094,Customer 1094,Team,False,SMB,Professional Services,2025-01-19,299
C1095,Customer 1095,Starter,False,Enterprise,Professional Services,2025-12-19,99
C1096,Customer 1096,Team,False,SMB,Financial Services,2025-09-24,299
C1097,Customer 1097,Team,False,Mid-Market,Professional Services,2025-07-16,199
C1098,Customer 1098,Enterprise,False,SMB,Education,2024-08-27,2500
C1099,Customer 1099,Team,False,Enterprise,Manufacturing,2025-11-18,299
C1100,Customer 1100,Enterprise,False,SMB,Education,2026-02-15,4000
