customer_id,month,logins,key_actions
C1000,2026-01-01,14,52
C1000,2026-02-01,12,52
C1000,2026-03-01,9,30
C1001,2026-01-01,18,78
C1001,2026-02-01,16,75
C1001,2026-03-01,25,133
C1001,2026-04-01,24,94
C1002,2026-01-01,13,49
C1002,2026-02-01,11,63
C1002,2026-03-01,8,27
C1002,2026-04-01,9,34
C1003,2026-01-01,7,0
C1003,2026-02-01,29,181
C1003,2026-03-01,31,185
C1003,2026-04-01,40,181
C1004,2026-01-01,12,41
C1004,2026-02-01,11,49
C1004,2026-03-01,13,51
C1004,2026-04-01,12,24
C1005,2026-01-01,13,127
C1005,2026-02-01,20,56
C1005,2026-03-01,31,120
C1005,2026-04-01,14,188
C1006,2026-01-01,8,57
C1006,2026-02-01,1,54
C1006,2026-03-01,12,61
C1006,2026-04-01,8,55
C1007,2026-01-01,35,129
C1007,2026-02-01,40,48
C1007,2026-03-01,31,128
C1007,2026-04-01,19,40
C1008,2026-01-01,44,159
C1008,2026-02-01,34,183
C1008,2026-03-01,33,93
C1008,2026-04-01,29,136
C1009,2026-01-01,37,236
C1009,2026-02-01,32,280
C1009,2026-03-01,23,147
C1009,2026-04-01,26,248
C1011,2026-01-01,12,57
C1011,2026-02-01,16,40
C1011,2026-03-01,12,57
C1012,2026-01-01,44,202
C1012,2026-02-01,42,208
C1012,2026-03-01,46,250
C1012,2026-04-01,57,306
C1013,2026-01-01,21,89
C1013,2026-02-01,17,66
C1013,2026-03-01,19,78
C1013,2026-04-01,16,40
C1014,2026-01-01,30,141
C1014,2026-02-01,17,174
C1014,2026-03-01,56,218
C1014,2026-04-01,29,180
C1015,2026-01-01,27,63
C1015,2026-02-01,17,48
C1015,2026-03-01,22,85
C1015,2026-04-01,21,97
C1016,2026-01-01,38,117
C1016,2026-02-01,24,179
C1016,2026-03-01,46,213
C1016,2026-04-01,33,225
C1017,2026-01-01,8,50
C1017,2026-02-01,11,35
C1017,2026-03-01,11,16
C1017,2026-04-01,15,46
C1018,2026-03-01,9,33
C1018,2026-04-01,11,20
C1019,2026-01-01,48,175
C1019,2026-02-01,74,286
C1019,2026-03-01,53,262
C1019,2026-04-01,57,245
C1020,2026-01-01,31,169
C1020,2026-02-01,27,228
C1020,2026-03-01,29,210
C1020,2026-04-01,19,141
C1021,2026-01-01,34,201
C1021,2026-02-01,12,178
C1021,2026-03-01,44,36
C1021,2026-04-01,45,205
C1022,2026-01-01,13,31
C1022,2026-02-01,14,40
C1022,2026-03-01,10,55
C1022,2026-04-01,8,32
C1025,2026-01-01,39,176
C1025,2026-02-01,47,254
C1025,2026-03-01,24,156
C1025,2026-04-01,35,221
C1026,2026-01-01,38,206
C1026,2026-02-01,24,217
C1026,2026-03-01,37,224
C1026,2026-04-01,39,201
C1029,2026-01-01,16,106
C1029,2026-02-01,22,120
C1029,2026-03-01,22,93
C1029,2026-04-01,25,88
C1030,2026-01-01,8,52
C1030,2026-02-01,9,35
C1030,2026-03-01,13,40
C1030,2026-04-01,10,42
C1031,2026-01-01,11,67
C1031,2026-02-01,31,97
C1031,2026-03-01,22,106
C1031,2026-04-01,23,85
C1032,2026-01-01,11,46
C1032,2026-02-01,15,30
C1032,2026-03-01,14,19
C1032,2026-04-01,12,28
C1033,2026-01-01,21,39
C1033,2026-02-01,10,32
C1033,2026-03-01,13,37
C1033,2026-04-01,13,62
C1035,2026-01-01,12,54
C1036,2026-01-01,25,81
C1036,2026-02-01,29,121
C1036,2026-03-01,25,70
C1037,2026-01-01,13,45
C1037,2026-02-01,14,10
C1037,2026-03-01,16,68
C1037,2026-04-01,17,30
C1038,2026-01-01,28,124
C1038,2026-02-01,25,88
C1038,2026-03-01,30,112
C1038,2026-04-01,27,70
C1040,2026-01-01,22,237
C1040,2026-02-01,44,138
C1040,2026-03-01,30,172
C1040,2026-04-01,45,120
C1041,2026-01-01,50,322
C1041,2026-02-01,72,493
C1041,2026-03-01,64,358
C1041,2026-04-01,46,174
C1043,2026-01-01,25,111
C1043,2026-02-01,19,128
C1043,2026-03-01,22,95
C1043,2026-04-01,21,100
C1044,2026-01-01,9,43
C1044,2026-02-01,12,49
C1044,2026-03-01,12,22
C1044,2026-04-01,9,52
C1045,2026-01-01,23,143
C1045,2026-02-01,39,128
C1045,2026-03-01,42,134
C1045,2026-04-01,30,183
C1046,2026-01-01,30,121
C1046,2026-02-01,39,82
C1046,2026-03-01,26,110
C1046,2026-04-01,1,126
C1047,2026-01-01,9,46
C1047,2026-02-01,4,46
C1047,2026-03-01,8,29
C1047,2026-04-01,10,43
C1048,2026-01-01,32,170
C1048,2026-02-01,43,238
C1048,2026-03-01,56,207
C1048,2026-04-01,36,269
C1049,2026-01-01,52,242
C1049,2026-02-01,46,170
C1049,2026-03-01,33,235
C1049,2026-04-01,37,214
C1050,2026-01-01,30,239
C1050,2026-02-01,47,90
C1050,2026-03-01,41,275
C1050,2026-04-01,35,239
C1052,2026-01-01,30,62
C1052,2026-02-01,20,116
C1052,2026-03-01,6,59
C1052,2026-04-01,16,57
C1056,2026-01-01,19,106
C1056,2026-02-01,16,44
C1056,2026-03-01,28,109
C1056,2026-04-01,25,68
C1057,2026-01-01,21,132
C1057,2026-02-01,20,104
C1057,2026-03-01,31,61
C1057,2026-04-01,14,66
C1058,2026-01-01,25,32
C1058,2026-02-01,9,87
C1058,2026-03-01,24,78
C1058,2026-04-01,25,105
C1059,2026-01-01,43,206
C1059,2026-02-01,28,269
C1059,2026-03-01,34,224
C1059,2026-04-01,14,199
C1060,2026-01-01,34,114
C1060,2026-02-01,26,70
C1060,2026-03-01,34,107
C1060,2026-04-01,24,116
C1061,2026-01-01,26,192
C1061,2026-02-01,37,118
C1061,2026-03-01,41,248
C1062,2026-01-01,14,41
C1062,2026-02-01,15,40
C1062,2026-03-01,13,56
C1062,2026-04-01,12,58
C1063,2026-01-01,19,132
C1063,2026-02-01,14,138
C1063,2026-03-01,14,138
C1063,2026-04-01,28,150
C1064,2026-01-01,67,232
C1064,2026-02-01,33,171
C1064,2026-03-01,26,206
C1064,2026-04-01,29,184
C1065,2026-01-01,10,31
C1065,2026-02-01,16,57
C1065,2026-03-01,11,34
C1065,2026-04-01,13,44
C1066,2026-01-01,21,122
C1066,2026-02-01,20,68
C1066,2026-03-01,17,90
C1066,2026-04-01,21,91
C1067,2026-03-01,17,27
C1067,2026-04-01,11,34
C1068,2026-01-01,12,43
C1068,2026-02-01,12,30
C1068,2026-03-01,17,51
C1069,2026-01-01,38,163
C1069,2026-02-01,39,229
C1069,2026-03-01,33,232
C1069,2026-04-01,39,105
C1070,2026-01-01,7,48
C1070,2026-02-01,11,33
C1070,2026-03-01,11,42
C1070,2026-04-01,17,12
C1071,2026-01-01,55,408
C1071,2026-02-01,31,441
C1071,2026-03-01,60,317
C1071,2026-04-01,72,475
C1072,2026-01-01,9,40
C1072,2026-02-01,14,42
C1072,2026-03-01,9,45
C1072,2026-04-01,13,27
C1074,2026-01-01,21,77
C1074,2026-02-01,23,114
C1074,2026-03-01,27,85
C1074,2026-04-01,21,82
C1075,2026-01-01,8,48
C1075,2026-02-01,11,34
C1075,2026-03-01,18,29
C1075,2026-04-01,12,26
C1076,2026-01-01,27,68
C1076,2026-02-01,36,82
C1076,2026-03-01,19,158
C1076,2026-04-01,18,94
C1077,2026-01-01,31,135
C1077,2026-02-01,27,229
C1077,2026-03-01,29,131
C1077,2026-04-01,39,142
C1079,2026-01-01,32,122
C1079,2026-02-01,29,56
C1079,2026-03-01,22,137
C1079,2026-04-01,19,128
C1080,2026-01-01,5,59
C1080,2026-02-01,15,38
C1080,2026-03-01,14,40
C1080,2026-04-01,13,16
C1081,2026-01-01,18,85
C1081,2026-02-01,21,114
C1081,2026-03-01,24,102
C1081,2026-04-01,36,109
C1082,2026-01-01,28,126
C1082,2026-02-01,26,157
C1082,2026-03-01,31,214
C1082,2026-04-01,46,206
C1084,2026-01-01,32,63
C1084,2026-02-01,24,62
C1084,2026-03-01,25,79
C1084,2026-04-01,25,84
C1086,2026-01-01,14,30
C1086,2026-02-01,6,35
C1086,2026-03-01,12,22
C1086,2026-04-01,11,33
C1087,2026-01-01,8,50
C1087,2026-02-01,17,41
C1087,2026-03-01,8,27
C1087,2026-04-01,7,30
C1088,2026-01-01,13,37
C1088,2026-02-01,11,44
C1088,2026-03-01,8,44
C1088,2026-04-01,7,42
C1089,2026-01-01,20,241
C1089,2026-02-01,40,172
C1089,2026-03-01,51,130
C1089,2026-04-01,17,274
C1091,2026-01-01,54,112
C1091,2026-02-01,34,392
C1091,2026-03-01,61,377
C1091,2026-04-01,58,377
C1092,2026-01-01,11,45
C1092,2026-02-01,16,49
C1092,2026-03-01,10,51
C1092,2026-04-01,10,54
C1094,2026-01-01,18,84
C1094,2026-02-01,29,45
C1094,2026-03-01,16,84
C1094,2026-04-01,24,94
C1095,2026-01-01,11,39
C1095,2026-02-01,8,48
C1095,2026-03-01,7,35
C1095,2026-04-01,5,43
C1096,2026-01-01,20,119
C1096,2026-02-01,15,109
C1096,2026-03-01,28,50
C1096,2026-04-01,26,118
C1097,2026-01-01,15,92
C1097,2026-02-01,19,90
C1097,2026-03-01,26,94
C1097,2026-04-01,17,113
C1098,2026-01-01,71,256
C1098,2026-02-01,67,238
C1098,2026-03-01,39,250
C1098,2026-04-01,58,353
C1099,2026-01-01,24,113
C1099,2026-02-01,25,103
C1099,2026-03-01,20,59
C1099,2026-04-01,22,105
C1100,2026-02-01,59,324
C1100,2026-03-01,46,294
C1100,2026-04-01,75,350
C1102,2026-01-01,20,50
C1102,2026-02-01,21,101
C1102,2026-03-01,35,87
C1102,2026-04-01,26,57
C1103,2026-01-01,64,501
C1103,2026-02-01,46,346
C1103,2026-03-01,32,340
C1103,2026-04-01,59,208
C1104,2026-01-01,38,406
C1104,2026-02-01,56,172
C1104,2026-03-01,67,401
C1104,2026-04-01,63,259
C1105,2026-01-01,10,37
C1106,2026-01-01,14,54
C1106,2026-02-01,14,30
C1106,2026-03-01,11,57
C1106,2026-04-01,6,50
C1107,2026-01-01,9,52
C1107,2026-02-01,11,33
C1107,2026-03-01,13,40
C1107,2026-04-01,15,34
C1108,2026-01-01,24,127
C1108,2026-02-01,21,96
C1108,2026-03-01,17,88
C1108,2026-04-01,26,94
C1109,2026-01-01,20,126
C1109,2026-02-01,29,74
C1109,2026-03-01,19,97
C1109,2026-04-01,17,152
C1110,2026-01-01,13,25
C1110,2026-02-01,16,36
C1110,2026-03-01,12,9
C1110,2026-04-01,7,43
C1112,2026-01-01,19,52
C1112,2026-02-01,7,60
C1112,2026-03-01,17,34
C1112,2026-04-01,9,40
C1113,2026-01-01,10,39
C1113,2026-02-01,8,30
C1113,2026-03-01,17,25
C1113,2026-04-01,19,37
C1114,2026-01-01,45,271
C1114,2026-02-01,56,428
C1114,2026-03-01,42,404
C1114,2026-04-01,50,231
C1115,2026-01-01,21,106
C1115,2026-02-01,17,81
C1115,2026-03-01,21,109
C1115,2026-04-01,19,100
C1116,2026-01-01,63,421
C1116,2026-02-01,66,226
C1116,2026-03-01,58,240
C1116,2026-04-01,39,279
C1117,2026-01-01,25,91
C1117,2026-02-01,26,85
C1117,2026-03-01,19,76
C1117,2026-04-01,15,121
C1118,2026-01-01,60,238
C1118,2026-02-01,26,238
C1118,2026-03-01,61,378
C1118,2026-04-01,51,393
C1119,2026-01-01,21,119
C1119,2026-02-01,26,70
C1119,2026-03-01,28,84
C1119,2026-04-01,32,96
C1120,2026-01-01,11,39
C1120,2026-02-01,12,35
C1120,2026-03-01,14,54
C1120,2026-04-01,11,48
C1121,2026-01-01,19,79
C1121,2026-02-01,22,84
C1121,2026-03-01,25,71
