Revenue,COGS,OPEX,Gross_Margin,EBITDA,date
9455785.934520945,4089843.3640967305,3191940.8668277096,5365942.570424214,2174001.7035965044,2021-01-01
9677157.313470647,4206662.687198942,3159496.8311340716,5470494.626271705,2310997.7951376336,2021-02-01
9970809.371391198,4342708.745846393,3246961.4947195025,5628100.625544805,2381139.1308253026,2021-03-01
10132925.191255564,4368043.543387038,3282933.5130991535,5764881.647868526,2481948.1347693726,2021-04-01
10006959.866301602,4365504.245644372,3112066.399696304,5641455.62065723,2529389.220960926,2021-05-01
9857948.51712649,4331747.733829884,3171398.5628071264,5526200.783296606,2354802.220489479,2021-06-01
9757271.43795968,4302770.318694662,3081853.3311560205,5454501.119265018,2372647.7881089975,2021-07-01
9521197.956994457,4129768.7484095492,3085744.96536699,5391429.208584908,2305684.2432179186,2021-08-01
9315213.924538275,4071996.5947492793,2848413.9110094197,5243217.329788996,2394803.418779576,2021-09-01
9330513.257135686,4062238.1408764063,2852652.8889104547,5268275.116259279,2415622.227348824,2021-10-01
9409246.175013015,4104273.4844123214,2825385.232478483,5304972.690600693,2479587.45812221,2021-11-01
9613577.629149383,4308285.337110413,2795943.433372296,5305292.29203897,2509348.858666674,2021-12-01
9885244.638800576,4492415.487063241,3001640.561390363,5392829.151737335,2391188.590346972,2022-01-01
10027456.727047179,4507920.2784259515,2999989.612469087,5519536.448621227,2519546.8361521405,2022-02-01
10239458.52302734,4676724.842709597,3052533.1298176176,5562733.680317743,2510200.550500125,2022-03-01
10377999.917960787,4719149.140467712,3005599.594467501,5658850.7774930755,2653251.1830255743,2022-04-01
10250034.858973946,4627344.218432109,3074141.298247811,5622690.640541838,2548549.3422940266,2022-05-01
10133939.878162473,4657895.873262664,2897212.110381266,5476044.004899809,2578831.894518543,2022-06-01
9834099.774920916,4591197.428883082,2896901.657199598,5242902.346037834,2346000.688838236,2022-07-01
9606792.261347275,4433889.994151521,2919057.556322972,5172902.267195755,2253844.710872783,2022-08-01
9534377.081717134,4503194.384103289,2733412.86467945,5031182.697613845,2297769.8329343945,2022-09-01
9375034.267324055,4229865.908379499,2719413.79031078,5145168.358944556,2425754.5686337757,2022-10-01
9481360.478471931,4448686.699604894,2781826.3242987944,5032673.778867037,2250847.4545682427,2022-11-01
9599727.752385182,4476772.4938868135,2775526.5134151145,5122955.258498369,2347428.7450832543,2022-12-01
9929121.900859272,4607203.2162571745,2818774.5004941267,5321918.684602098,2503144.184107971,2023-01-01
10227758.964748343,4768522.3147457875,2999229.4363356363,5459236.650002556,2460007.2136669196,2023-02-01
10332348.579292966,4699932.473256621,2958475.8773645354,5632416.1060363455,2673940.22867181,2023-03-01
10521439.640494205,4869805.331065527,3080178.547405087,5651634.309428678,2571455.762023591,2023-04-01
10397865.2602273,4821358.151001,2997747.305545946,5576507.1092263,2578759.8036803543,2023-05-01
10267507.765154215,4790127.277258749,3086935.498766354,5477380.487895465,2390444.9891291116,2023-06-01
10041938.865528557,4571469.017317895,2889333.4925898327,5470469.848210663,2581136.35562083,2023-07-01
9897489.576375604,4475024.171690084,2895503.004323407,5422465.40468552,2526962.4003621126,2023-08-01
9619620.981161555,4349570.425890466,2880936.4089600192,5270050.555271089,2389114.14631107,2023-09-01
9481204.207057565,4349290.432242391,2754496.90000814,5131913.774815175,2377416.8748070346,2023-10-01
9684755.168890689,4401145.050363924,2859877.6197040654,5283610.118526764,2423732.498822699,2023-11-01
9808388.265497617,4405960.992311007,2961677.816526688,5402427.27318661,2440749.456659922,2023-12-01
10157930.800344005,4619088.05215732,2906408.7608450474,5538842.748186685,2632433.9873416377,2024-01-01
10327293.136048181,4659914.114710373,3073395.5361400708,5667379.021337808,2593983.4851977373,2024-02-01
10583483.321759116,4829318.803815672,3153619.5434908434,5754164.517943444,2600544.9744526003,2024-03-01
10729369.291446097,4798738.313957149,3225090.438601161,5930630.977488948,2705540.538887787,2024-04-01
10711498.957939817,4802960.152738419,3125076.8092671665,5908538.805201397,2783461.9959342307,2024-05-01
10519392.377297956,4708565.442280921,3077874.267450728,5810826.935017035,2732952.6675663074,2024-06-01
10271289.044886768,4538492.222982472,3112825.0756438235,5732796.821904296,2619971.7462604726,2024-07-01
10000345.488961214,4501976.348455378,3019464.471592727,5498369.140505836,2478904.668913109,2024-08-01
9793833.193518955,4400409.268714731,2942510.628636859,5393423.924804225,2450913.2961673657,2024-09-01
9793618.619406687,4384363.754984604,2947144.9118248625,5409254.864422083,2462109.9525972204,2024-10-01
9899137.786035955,4413632.881561406,2940548.467935656,5485504.904474549,2544956.436538893,2024-11-01
10200051.228384903,4478228.75717948,3063626.7047968013,5721822.471205423,2658195.7664086213,2024-12-01
10422612.14615204,4618842.022449048,3120528.3542697732,5803770.123702992,2683241.7694332185,2025-01-01
10579714.395661376,4684448.782498472,3127586.0162064754,5895265.613162904,2767679.5969564286,2025-02-01
10834961.165686361,4752748.951959787,3356453.888437591,6082212.213726575,2725758.3252889835,2025-03-01
10821631.274959961,4775376.889480524,3277009.162128762,6046254.385479437,2769245.2233506753,2025-04-01
10801789.61398217,4795813.226746843,3181068.4389200434,6005976.387235328,2824907.948315284,2025-05-01
9455785.934520945,4089843.3640967305,3191940.8668277096,5365942.570424214,2174001.7035965044,2025-06-01
9677157.313470647,4206662.687198942,3159496.8311340716,5470494.626271705,2310997.7951376336,2025-07-01
