"","time","value"
"1",1970,1.01
"2",1970.25,1.06
"3",1970.5,1.13
"4",1970.75,1.24
"5",1971,1.33
"6",1971.25,1.45
"7",1971.5,1.64
"8",1971.75,1.77
"9",1972,2.24
"10",1972.25,2.58
"11",1972.5,2.92
"12",1972.75,3.2
"13",1973,4.26
"14",1973.25,4.89
"15",1973.5,4.94
"16",1973.75,5.15
"17",1974,5.19
"18",1974.25,5.57
"19",1974.5,6
"20",1974.75,6.92
"21",1975,8.22
"22",1975.25,10.57
"23",1975.5,19.53
"24",1975.75,28.56
"25",1976,45.68
"26",1976.25,85.61
"27",1976.5,101.12
"28",1976.75,131.67
"29",1977,171.96
"30",1977.25,209.93
"31",1977.5,267.05
"32",1977.75,355.82
"33",1978,466.84
"34",1978.25,606.61
"35",1978.5,744
"36",1978.75,950.91
"37",1979,1255.96
"38",1979.25,1560.66
"39",1979.5,1999.51
"40",1979.75,2367.83
"41",1980,2805.64
"42",1980.25,3328.89
"43",1980.5,3818.9
"44",1980.75,4469.26
"45",1981,5115.07
"46",1981.25,6297.67
"47",1981.5,8125.88
"48",1981.75,9952.58
"49",1982,12659.68
"50",1982.25,14482.68
"51",1982.5,20789.88
"52",1982.75,30153.65
"53",1983,43626.3
"54",1983.25,59885.82
"55",1983.5,91200.11
"56",1983.75,151820.8
"57",1984,238465
"58",1984.25,394707.2
"59",1984.5,688803.6
"60",1984.75,1196314
"61",1985,2180880
"62",1985.25,4484544
"63",1985.5,6170733
"64",1985.75,6608855
"65",1986,7194400
"66",1986.25,8140463
"67",1986.5,9834494
"68",1986.75,11798442
"69",1987,14267856
"70",1987.25,16727634
"71",1987.5,22297936
"72",1987.75,32220516
"73",1988,41661128
"74",1988.25,64616412
"75",1988.5,116430000
"76",1988.75,155770000
"77",1989,203130000
"78",1989.25,679960000
"79",1989.5,4537300000
"80",1989.75,6611700000
